SystemId|Customer Name|Customer Number|Account System Id|Account Number|Customer Type|Trust Name|PAN|AddressType|Address 1|Address 2|Address 3|Address 4|Email Id|Segment|Industry|Business Unit|Customer Zone|Customer State|Customer Location|Father Name|Pendency Reason|Pendency Remarks|NPA Type|Date Of NPA|AdhaarNo|Customer Demise|Account Business Unit|Account Type|Customer Account Address|Principal Amount|Rate Of Interest|OutStanding Balance|Loan Agreement Date|Loan Disbursal Date|Account Zone|Account State|Account Location|Applicant|Applicant Type|Applicant Id|Applicant Address Type|Applicant Address|Applicant Address2|Applicant Address3|Applicant Address4|Applicant Location|Applicant State|Applicant Zipcode|Institute Name|Role|Percentage Share|Limit Sanctioned|Consent Received|Upload Date|Loan Closed Date|Legal Document|Document Type|Account Status|BlockType1|DateofBlockType1|BlockType2|DateofBlockType2|Current DPD|NPA Removal Date|RBI Reported Fraud|Bank Name| Instrument No|Instrument Amount|ECS Details|Memo Date|Memo Reason| Instrument Date|Beneficiary Bank|Beneficiary Bank Branch|Signatory Authority|Instrument Type|ChequeMICR_Cust
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|RADHA|Coborrower|1424||||||||||||||||||Live|||||38|31-Jan-2025|No|ICICI|CH01|23432|Details11|03-Jan-2025|NA|02-Jan-2025|PNB|LATUR|Riya |NACH|MICR654
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|RADHA|Coborrower|1424||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|AAAAA|12345||06-Feb-2025||20-Feb-2025||| ||
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|RADHA|Coborrower|1424||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|InstU01|67900|For Account|02-Jan-2024|NA|02-Jan-2024|PNB|PUNE|Ram|ECS|MICRCODE01
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|RADHA|Coborrower|1424||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|InstU712501|67900|For Account|02-Jan-2024|NA|02-Jan-2024|PNB|PUNE|Ram|Cheque|MICRCODE01
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|RADHA|Coborrower|1424||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|10012025-02AS|2.1e+006||05-May-2026|NA|05-May-2024|CANARA|PUNE|Akash|ECS|03012025-02
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|RADHA|Coborrower|1424||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|09012025-02|2.1e+006||05-May-2026|NA|05-May-2024|CANARA|PUNE|Akash|ECS|03012025-02
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|RADHA|Coborrower|1424||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|03012025-02|2.1e+006||05-May-2026|NA|05-May-2024|CANARA|PUNE|Akash|ECS|03012025-02
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|KAIRA|CoApplicant|1||||||||||||||||||Live|||||38|31-Jan-2025|No|ICICI|CH01|23432|Details11|03-Jan-2025|NA|02-Jan-2025|PNB|LATUR|Riya |NACH|MICR654
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|KAIRA|CoApplicant|1||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|AAAAA|12345||06-Feb-2025||20-Feb-2025||| ||
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|KAIRA|CoApplicant|1||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|InstU01|67900|For Account|02-Jan-2024|NA|02-Jan-2024|PNB|PUNE|Ram|ECS|MICRCODE01
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|KAIRA|CoApplicant|1||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|InstU712501|67900|For Account|02-Jan-2024|NA|02-Jan-2024|PNB|PUNE|Ram|Cheque|MICRCODE01
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|KAIRA|CoApplicant|1||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|10012025-02AS|2.1e+006||05-May-2026|NA|05-May-2024|CANARA|PUNE|Akash|ECS|03012025-02
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|KAIRA|CoApplicant|1||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|09012025-02|2.1e+006||05-May-2026|NA|05-May-2024|CANARA|PUNE|Akash|ECS|03012025-02
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes|CTQA|TERM LOAN|MUMBAI|67000|8|12900|01-Jan-2025 00:00:00|02-Jan-2025 00:00:00|NORTH|CHHATTISGARH|DHAMTARI|KAIRA|CoApplicant|1||||||||||||||||||Live|||||38|31-Jan-2025|No|SBI|03012025-02|2.1e+006||05-May-2026|NA|05-May-2024|CANARA|PUNE|Akash|ECS|03012025-02
